testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T2-Pt,593.7000000178814,1809.5999999940395,274.59999999403954,2061.899999976158,10000
(index):308 LayerVSMatch,idle,T1-Pt,602.5,16201.5,1170.9000000059605,16202.800000011921,10000
(index):308 LayerVSMatch,idle,T1-Pt,2771.7999999821186,17155.20000001788,3070.4000000059605,17157,10000
(index):308 LayerVSMatch,idle,T1-Ls,2741,18740.69999998808,2526.199999988079,18741.69999998808,10000
(index):308 LayerVSMatch,idle,T3-Ls,2713,8717.300000011921,2560.4000000059605,8718.199999988079,10000
(index):308 LayerVSMatch,idle,T2-Pt,2400.5,3228.2000000178814,1389.6000000238419,3458,10000
(index):308 LayerVSMatch,idle,T2-Ls,587.5999999940395,2036.5,418.80000001192093,2041.800000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,592.5999999940395,1981.9000000059605,341.09999999403954,2130,10000
LayerVSMatch,idle,T1-Ls,608,24461.5,1761.9000000059605,24463,10000
(index):308 LayerVSMatch,idle,T3-Pt,2083.800000011921,10310.5,3570.9000000059605,10313.59999999404,10000
(index):308 LayerVSMatch,idle,T3-Pt,3290.2999999821186,11217,3384.2000000178814,11219.5,10000
(index):308 LayerVSMatch,idle,T2-Pt,4424,3903.7000000178814,2175.100000023842,4071.2000000178814,10000
(index):308 LayerVSMatch,idle,T1-Ls,611.3999999761581,19610,1653.5,19612.100000023842,10000
(index):308 LayerVSMatch,idle,T3-Ls,2159.7999999821186,10065.300000011921,2371.300000011921,10066.100000023842,10000
(index):308 LayerVSMatch,idle,T2-Pt,2665.9000000059605,4661.0999999940395,2147.7999999821186,4661.299999982119,10000
(index):308 LayerVSMatch,idle,T2-Ls2,532.5,3955.399999976158,864.0999999940395,4215.399999976158,10000
(index):308 LayerVSMatch,idle,T2-Ls,598.5,2714.300000011921,519.5999999940395,2947.9000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,605.8000000119209,9931.5,1133.699999988079,9933.199999988079,10000
(index):308 LayerVSMatch,idle,T2-Ls,1254.9000000059605,5732.5,2212.7000000178814,5732.800000011921,10000
(index):308 LayerVSMatch,idle,T1-Ls,814.1000000238419,26991.09999999404,3564.5,26993.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls2,3253.0999999940395,5276.300000011921,2217.800000011921,5276.5,10000
(index):308 LayerVSMatch,idle,T1-Ls,605.9000000059605,23906.5,2019.2000000178814,23907.59999999404,10000
(index):308 LayerVSMatch,idle,T3-Ls,3479.0999999940395,13984.5,3149.5999999940395,13985.799999982119,10000
(index):308 LayerVSMatch,idle,T1-Pt,1579.199999988079,27156.09999999404,3938.2000000178814,27157.30000001192,10000
(index):308 LayerVSMatch,idle,T1-Ls,2167.300000011921,25412.69999998808,3883.5999999940395,25413.69999998808,10000
(index):308 LayerVSMatch,idle,T2-Pt,3969.9000000059605,5247.5,2514.7999999821186,5316.9000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,722.1999999880791,10946.90000000596,2056.2000000178814,10949.5,10000
(index):308 LayerVSMatch,idle,T1-Ls,3487,25513.899999976158,3705.399999976158,25515,10000
LayerVSMatch,idle,T3-Pt,3501.5,11238.800000011921,3492.9000000059605,11240.90000000596,10000
(index):308 LayerVSMatch,idle,T1-Ls,6999.4000000059605,30410.59999999404,2618.699999988079,30414.19999998808,10000
(index):308 LayerVSMatch,idle,T3-Ls,7717.0999999940395,15464.600000023842,3081.7000000178814,15466.200000017881,10000
(index):308 LayerVSMatch,idle,T2-Ls2,1878.5999999940395,6394.9000000059605,2536,6395.100000023842,10000
(index):308 LayerVSMatch,idle,T1-Ls,636.1999999880791,32971.70000001788,2671.5999999940395,32974,10000
