testname,event,treatment,start,load,style.load,idle,features_number
(index):316 LayerVSMatch,idle,T2-Ls4,610.6000000238419,2557,308.30000001192093,2557.099999964237,10000
(index):316 LayerVSMatch,idle,T2-Ls,601.0999999642372,2106,374.9000000357628,2172.100000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls,519.5999999642372,2160.600000023842,530.8000000119209,2409.2000000476837,10000
(index):316 LayerVSMatch,idle,T2-Ls,606.3000000119209,2329.400000035763,485.10000002384186,2329.600000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls4,593.3000000119209,3951.800000011921,352.30000001192093,3952.100000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls4,668.0999999642372,3939.5,543.2000000476837,3939.7000000476837,10000
(index):316 LayerVSMatch,idle,T2-Ls,605.1999999880791,2289.5,446.80000001192093,2457.5,10000
(index):316 LayerVSMatch,idle,T2-Ls,602.2000000476837,2890.5,804.0999999642372,3150.899999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,595.6000000238419,2547.5,475.5999999642372,2611.899999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,486.80000001192093,2464.699999988079,433.19999998807907,2467.399999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls4,595.1999999880791,2879.900000035763,409.5,2880,10000
(index):316 LayerVSMatch,idle,T2-Ls,598.2999999523163,2435.2000000476837,494.80000001192093,2437.600000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls4,591.4000000357628,2567.300000011921,387.5,2567.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,603,2902.5,446.10000002384186,2902.600000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls4,667.0999999642372,2236.800000011921,432.7000000476837,2366.100000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls,606.3000000119209,2051.800000011921,451.19999998807907,2051.899999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,603.1999999880791,2115,435.10000002384186,2362.900000035763,10000
(index):316 LayerVSMatch,idle,T2-Ls4,603.8000000119209,2265.399999976158,355.69999998807907,2265.600000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls,514.1999999880791,2317.100000023842,449.60000002384186,2406.5,10000
(index):316 LayerVSMatch,idle,T2-Ls,595.5,2062.899999976158,433.39999997615814,2063.100000023842,10000
(index):316 LayerVSMatch,idle,T2-Ls4,608.9000000357628,2180.199999988079,375.39999997615814,2180.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,598,2412.300000011921,359.10000002384186,2412.399999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,815.4000000357628,1971.0999999642372,324,2205.899999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,595.3000000119209,2136.900000035763,385.5,2142.900000035763,10000
(index):316 LayerVSMatch,idle,T2-Ls,586.3000000119209,2396.399999976158,598.0999999642372,2635.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls,592,2721.199999988079,514.6000000238419,2724.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls,663.3000000119209,3421.600000023842,1127.8999999761581,3649.5,10000
(index):316 LayerVSMatch,idle,T2-Ls4,603.3000000119209,2896.7999999523163,597.1999999880791,2896.899999976158,10000
(index):316 LayerVSMatch,idle,T2-Ls,586.8000000119209,2470.099999964237,480.5,2470.099999964237,10000
(index):316 LayerVSMatch,idle,T2-Ls4,599.5,2079.699999988079,409.69999998807907,2203.699999988079,10000
(index):316 LayerVSMatch,idle,T2-Ls,589.3999999761581,2500.300000011921,494.60000002384186,2503.100000023842,10000
